7, 04/03/2020 13:27:55,
6, 04/03/2020 13:13:55,
6, 04/03/2020 13:11:06,
6, 04/03/2020 13:09:58,
5, 04/03/2020 13:03:52,
5, 04/03/2020 13:03:44,
5, 04/03/2020 13:03:37,
5, 04/03/2020 13:03:30,
5, 04/03/2020 13:03:02,
5, 04/03/2020 13:02:55,
4, 04/03/2020 12:48:10,
4, 04/03/2020 12:44:03,
3, 04/03/2020 12:27:25,
3, 04/03/2020 12:27:11,
3, 04/03/2020 12:26:47,
2, 04/03/2020 12:18:40,
2, 04/03/2020 12:18:16,
2, 04/03/2020 12:18:00,
2, 04/03/2020 12:17:42,
2, 04/03/2020 12:17:30,
2, 04/03/2020 12:17:14,
1, 04/03/2020 11:52:41,
1, 04/03/2020 11:52:26,
1, 04/03/2020 11:52:18,
1, 04/03/2020 11:52:00,
1, 04/03/2020 11:51:51,
1, 04/03/2020 11:51:43,
1, 04/03/2020 11:51:35,
1, 04/03/2020 11:51:27,
1, 04/03/2020 11:51:20,
1, 04/03/2020 11:50:56,
1, 04/03/2020 11:50:52,
1, 04/03/2020 11:50:46,
1, 04/03/2020 11:50:37,
1, 04/03/2020 11:49:50,
1, 04/03/2020 11:49:44,
1, 04/03/2020 11:49:26,
1, 04/03/2020 11:49:16,
1, 04/03/2020 11:49:08,
1, 04/03/2020 11:48:44,
4, 03/03/2020 14:50:08,
8, 03/03/2020 14:50:08,
5, 03/03/2020 14:50:08,
8, 03/03/2020 14:50:07,
8, 03/03/2020 14:21:48,
5, 03/03/2020 14:21:47,
