2020-03-04 10:24:52,[usyd]3:982222499cc0:3:90:b64:1025121;3:3c4e83c648cf:3:87:b64:1215051;3:65c918d6bded:3:89:b64:1216691;11:2844f1b79a55:a:0:37:bc:bc:12:1:88:b64:421504;
2020-03-04 10:25:46,[usyd]11:2844f1982222:19:0:29:bc:bc:12:1:88:b64:422565;11:f96b5c17ef15:14:0:3f:f:0:11:1:90:b64:461749;11:f96b5ce7a144:17:0:3d:f:0:12:1:83:b64:464924;11:4cc2092844f1:b:0:3b:cb:e:24:1:95:b64:476935;
2020-03-04 10:26:10,[usyd]11:4cc20917ef15:8:0:3b:da:cb:24:1:86:b64:480118;3:982222499cc0:3:92:b64:488607;11:17f2b6b79a55:4:0:36:fc:c:3:1:95:b64:494004;11:2844f1970a33:19:0:5a:ff:cf:14:a:92:b64:499855;
2020-03-04 10:26:16,[usyd]11:4cc209491528:a:0:40:db:da:11:7:98:b64:500229;11:17f2b64dd644:3:0:38:fc:c:48:4:95:b64:500359;11:2844f1e7a144:d:0:3d:bc:ff:24:4:98:b64:503031;11:e7a144f96b5c:2:0:46:ef:b:25:7:95:b64:506483;
2020-03-04 10:26:55,[usyd]11:e7a144970a33:3:0:52:ef:b:25:7:88:b64:508597;11:e7a14417f2b6:2:0:3e:ef:b:25:7:86:b64:511773;11:f96b5c3c4e83:28:0:53:eb:ff:36:4:94:b64:512576;11:f96b5c982222:2e:0:50:cb:cc:55:5:98:b64:543281;
2020-03-04 10:27:19,[usyd]11:f96b5c4cc209:20:0:3e:af:cb:55:5:92:b64:547514;11:f96b5ce7a144:18:0:4a:af:cb:55:5:92:b64:548570;11:b79a554cc209:13:0:3a:be:ad:37:4:94:b64:567188;11:e7a14417ef15:4:0:3c:bf:0:3:4:94:b64:568947;
2020-03-04 10:27:25,[usyd]11:e7a14417f2b6:3:0:3e:ac:bf:39:5:92:b64:572125;11:b79a554dd644:9:0:37:be:ad:37:4:97:b64:572481;11:e7a1444cc209:2:0:44:ac:bf:39:5:97:b64:573189;11:e7a144491528:3:0:3e:ac:bf:39:5:95:b64:574240;
2020-03-04 10:27:28,[usyd]11:4915284cc209:4:0:42:be:ef:5e:6:97:b64:574532;11:f96b5c17f2b6:18:0:3d:ee:ad:3a:7:87:b64:575039;11:f96b5c2844f1:1a:0:3a:ee:ad:3a:7:89:b64:577162;11:f96b5c4dd644:1a:0:3d:ee:ad:23:1:92:b64:578216;
2020-03-04 10:29:51,[usyd]11:e7a14417ef15:5:0:42:0:0:1:2:92:b64:673978;11:2844f1491528:f:0:49:bc:0:28:3:100:b64:673978;11:f96b5c4dd644:1c:0:35:ff:ab:46:3:93:b64:673978;11:491528b771e7:4:0:59:bc:0:16:a:98:b64:673978;
2020-03-04 10:30:24,[usyd]11:f96b5c4dd644:1d:0:3d:be:bf:19:5:94:b64:673978;11:f96b5c3c4e83:2a:0:4e:be:bf:19:5:93:b64:673978;11:2844f1b79a55:d:0:39:0:0:12:2:89:b64:673978;11:2844f1491528:10:0:43:0:0:12:2:92:b64:673978;
